Gesamtzahl aller Wörter: 143901

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
grünen                   | NOUN | 10    | NN    | 0.006949222034593227
gemüse                   | NOUN | 9     | NN    | 0.006254299831133904
universitätsuklinikum    | PROPN| 1     | NE    | 0.0006949222034593227
mai                      | NOUN | 38    | NN    | 0.026407043731454263
agritechnica             | PROPN| 8     | NE    | 0.0055593776276745815
fachleuten               | NOUN | 5     | NN    | 0.0034746110172966136
flughafen                | NOUN | 86    | NN    | 0.059763309497501756
breiter                  | ADV  | 5     | ADJD  | 0.0034746110172966136
fach∙leute               | NOUN | 2     | NN    | 0.0013898444069186454
landen                   | VERB | 18    | VVINF | 0.012508599662267809
rund                     | ADV  | 2     | ADV   | 0.0013898444069186454
jena                     | PROPN| 6     | NE    | 0.0041695332207559365
toulouse                 | PROPN| 2     | NE    | 0.0013898444069186454
fenster                  | NOUN | 17    | NN    | 0.011813677458808486
melden                   | VERB | 1     | VVINF | 0.0006949222034593227
werkzeugkiste            | NOUN | 2     | NN    | 0.0013898444069186454
agritechnica             | NOUN | 3     | NE    | 0.0020847666103779683
lückenfüller             | PROPN| 1     | NE    | 0.0006949222034593227
kohle                    | NOUN | 4     | NN    | 0.0027796888138372907
genug                    | ADV  | 1     | PIAT  | 0.0006949222034593227
festgenommen             | VERB | 78    | VVPP  | 0.05420393186982717
hammer                   | NOUN | 2     | NN    | 0.0013898444069186454
fahren                   | NOUN | 2     | NN    | 0.0013898444069186454
indonesien               | PROPN| 4     | NE    | 0.0027796888138372907
abgestiegen              | VERB | 1     | VVIZU | 0.0006949222034593227
gesetzen                 | NOUN | 3     | NN    | 0.0020847666103779683
rollstuhl                | NOUN | 6     | NN    | 0.0041695332207559365
sters                    | PROPN| 1     | NN    | 0.0006949222034593227
nein                     | PART | 1     | PTKANT| 0.0006949222034593227
2500                     | NUM  | 2     | CARD  | 0.0013898444069186454
alsterschwäne            | NOUN | 4     | NN    | 0.0027796888138372907
verbindet                | VERB | 4     | VVFIN | 0.0027796888138372907
bahngleise               | NOUN | 6     | NN    | 0.0041695332207559365
ackerlöper               | PROPN| 3     | NE    | 0.0020847666103779683
einbrüche                | NOUN | 14    | NN    | 0.009728910848430519
passagieren              | NOUN | 1     | NN    | 0.0006949222034593227
sters                    | NOUN | 1     | NN    | 0.0006949222034593227
soll                     | AUX  | 118   | VMFIN | 0.08200082000820008
benachteiligt            | VERB | 1     | VVPP  | 0.0006949222034593227
spendenabend             | PROPN| 1     | NN    | 0.0006949222034593227
osterferien              | PROPN| 1     | NE    | 0.0006949222034593227
bahnhöfen                | NOUN | 7     | NN    | 0.0048644554242152594
sich                     | PRON | 328   | PRF   | 0.22793448273465786
tischen                  | NOUN | 1     | NN    | 0.0006949222034593227
hafenbecken              | NOUN | 9     | NN    | 0.006254299831133904
stört                    | VERB | 2     | VVFIN | 0.0013898444069186454
oberhausen               | PROPN| 2     | NE    | 0.0013898444069186454
indien                   | PROPN| 2     | NE    | 0.0013898444069186454
relegationsspiele        | NOUN | 7     | NN    | 0.0048644554242152594
herbstferien             | PROPN| 3     | NE    | 0.0020847666103779683
silvesterböller          | PROPN| 1     | NE    | 0.0006949222034593227
spiegel                  | NOUN | 1     | NE    | 0.0006949222034593227
1.                       | ADV  | 16    | ADV   | 0.011118755255349163
tochter                  | NOUN | 17    | NN    | 0.011813677458808486
wahlgebiet               | NOUN | 1     | NN    | 0.0006949222034593227
380.                     | NOUN | 1     | NN    | 0.0006949222034593227
sowjetunion              | PROPN| 3     | NE    | 0.0020847666103779683
gebratenem               | ADJ  | 1     | ADJA  | 0.0006949222034593227
lauf                     | NOUN | 5     | NN    | 0.0034746110172966136
geschwindigkeit          | NOUN | 4     | NN    | 0.0027796888138372907
ergebnis                 | NOUN | 8     | NN    | 0.0055593776276745815
kennen                   | VERB | 10    | VVFIN | 0.006949222034593227
begleiter                | NOUN | 1     | NN    | 0.0006949222034593227
ausstattung              | NOUN | 3     | NN    | 0.0020847666103779683
erreichen                | VERB | 2     | VVINF | 0.0013898444069186454
a33                      | ADV  | 1     | NN    | 0.0006949222034593227
49                       | NUM  | 1     | CARD  | 0.0006949222034593227
festgesteckt             | VERB | 2     | VVPP  | 0.0013898444069186454
