Gesamtzahl aller Wörter: 75340

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
hansaplatz               | PROPN| 1     | NE    | 0.0013273161667109105
musste                   | AUX  | 15    | VMFIN | 0.019909742500663657
australien               | PROPN| 3     | NE    | 0.003981948500132732
nächste                  | ADJ  | 2     | ADJA  | 0.002654632333421821
reisepass                | NOUN | 1     | NN    | 0.0013273161667109105
strom                    | NOUN | 35    | NN    | 0.04645606583488187
anjes                    | PROPN| 2     | NE    | 0.002654632333421821
stoppelmarkt             | NOUN | 7     | NN    | 0.009291213166976373
lkw                      | NOUN | 165   | NN    | 0.21900716750730023
musiker                  | NOUN | 15    | NN    | 0.019909742500663657
33                       | NUM  | 1     | CARD  | 0.0013273161667109105
23.04.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
roboter                  | NOUN | 1     | NN    | 0.0013273161667109105
wildschweine             | NOUN | 19    | NN    | 0.0252190071675073
gerissen                 | VERB | 2     | VVPP  | 0.002654632333421821
gegeneinander            | ADV  | 7     | ADV   | 0.009291213166976373
straftat                 | NOUN | 19    | NN    | 0.0252190071675073
schlechtes               | ADJ  | 1     | ADJA  | 0.0013273161667109105
09.10.2019.              | NOUN | 1     | CARD  | 0.0013273161667109105
20.11.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
handballspiele           | NOUN | 3     | NN    | 0.003981948500132732
a352.                    | X    | 1     | NN    | 0.0013273161667109105
zarrentin                | NOUN | 1     | NE    | 0.0013273161667109105
seinen                   | DET  | 14    | PPOSAT| 0.018582426333952747
algen                    | NOUN | 3     | NN    | 0.003981948500132732
getestet                 | VERB | 1     | VVPP  | 0.0013273161667109105
440                      | NUM  | 1     | CARD  | 0.0013273161667109105
5.                       | ADJ  | 7     | ADJA  | 0.009291213166976373
ungesund                 | ADV  | 1     | ADJD  | 0.0013273161667109105
ausrüstung               | NOUN | 1     | NN    | 0.0013273161667109105
08.10.2019.              | NUM  | 1     | CARD  | 0.0013273161667109105
18.09.2019.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
streitenden              | ADJ  | 2     | ADJA  | 0.002654632333421821
angela                   | PROPN| 12    | NE    | 0.015927794000530928
13.02.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
renovierung              | NOUN | 2     | NN    | 0.002654632333421821
bergwerksloren           | NOUN | 1     | NN    | 0.0013273161667109105
windenergie              | NOUN | 4     | NN    | 0.005309264666843642
untersuchungshaft        | NOUN | 11    | NN    | 0.014600477833820015
2014                     | NUM  | 4     | CARD  | 0.005309264666843642
heißen                   | VERB | 2     | VVINF | 0.002654632333421821
kutsche                  | NOUN | 9     | NN    | 0.011945845500398195
fenster                  | NOUN | 13    | NN    | 0.017255110167241836
dominic                  | PROPN| 2     | NE    | 0.002654632333421821
zoo                      | NOUN | 4     | NN    | 0.005309264666843642
24.09.2019.              | PROPN| 1     | NE    | 0.0013273161667109105
fernbus                  | NOUN | 3     | NN    | 0.003981948500132732
vermissten               | ADJ  | 1     | ADJA  | 0.0013273161667109105
musikern                 | NOUN | 3     | NN    | 0.003981948500132732
17.04.2019.              | NOUN | 1     | NN    | 0.0013273161667109105
computern                | NOUN | 3     | NN    | 0.003981948500132732
nachfolgerin             | NOUN | 2     | NN    | 0.002654632333421821
althusmann               | PROPN| 2     | NE    | 0.002654632333421821
a2                       | X    | 2     | XY    | 0.002654632333421821
kältebus                 | PROPN| 1     | NN    | 0.0013273161667109105
filmen                   | NOUN | 2     | NN    | 0.002654632333421821
dichter                  | ADJ  | 1     | ADJA  | 0.0013273161667109105
thailand                 | PROPN| 3     | NE    | 0.003981948500132732
flasche                  | NOUN | 2     | NN    | 0.002654632333421821
fußballspielen           | NOUN | 1     | NN    | 0.0013273161667109105
michel                   | PROPN| 9     | NE    | 0.011945845500398195
hühner                   | NOUN | 2     | NN    | 0.002654632333421821
15.03.2019.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
23.01.2020.              | PROPN| 1     | ADJA  | 0.0013273161667109105
uruguay                  | PROPN| 2     | NE    | 0.002654632333421821
vorbeifahren             | VERB | 1     | VVINF | 0.0013273161667109105
traurig                  | ADV  | 1     | ADJD  | 0.0013273161667109105
14                       | NUM  | 3     | CARD  | 0.003981948500132732
köln                     | PROPN| 3     | NE    | 0.003981948500132732
kohltage                 | PROPN| 1     | NE    | 0.0013273161667109105
wahlen                   | NOUN | 2     | NN    | 0.002654632333421821
grippe                   | NOUN | 6     | NN    | 0.007963897000265464
sturmflut                | NOUN | 15    | NN    | 0.019909742500663657
zusammen                 | ADV  | 10    | PTKVZ | 0.013273161667109106
bremen                   | PROPN| 57    | NE    | 0.0756570215025219
landwirtschaftsministerin| NOUN | 4     | NN    | 0.005309264666843642
100.                     | ADJ  | 1     | ADJA  | 0.0013273161667109105
musikrichtung            | NOUN | 1     | NN    | 0.0013273161667109105
gar                      | ADV  | 3     | ADV   | 0.003981948500132732
zusammen                 | ADV  | 9     | ADV   | 0.011945845500398195
ab                       | ADP  | 4     | PTKVZ | 0.005309264666843642
münden                   | PROPN| 2     | NE    | 0.002654632333421821
gesetzen                 | NOUN | 4     | NN    | 0.005309264666843642
herunter                 | ADV  | 1     | PTKVZ | 0.0013273161667109105
bassum                   | PROPN| 1     | NE    | 0.0013273161667109105
sonntagmorgen            | NOUN | 1     | NN    | 0.0013273161667109105
heiß                     | ADV  | 12    | ADJD  | 0.015927794000530928
kiel                     | PROPN| 99    | NE    | 0.13140430050438015
baustelle                | NOUN | 15    | NN    | 0.019909742500663657
andere                   | PRON | 1     | PIS   | 0.0013273161667109105
fällen                   | VERB | 1     | VVINF | 0.0013273161667109105
standort                 | NOUN | 6     | NN    | 0.007963897000265464
4000                     | NUM  | 2     | CARD  | 0.002654632333421821
alstertal-einkaufszentrum| NOUN | 1     | NN    | 0.0013273161667109105
laufen                   | VERB | 10    | VVINF | 0.013273161667109106
beleidigt                | VERB | 1     | VVPP  | 0.0013273161667109105
2,4                      | NUM  | 1     | CARD  | 0.0013273161667109105
fällen                   | VERB | 3     | VVFIN | 0.003981948500132732
meistens                 | ADV  | 13    | ADV   | 0.017255110167241836
198                      | NUM  | 1     | CARD  | 0.0013273161667109105
22.01.2020.              | NOUN | 1     | NN    | 0.0013273161667109105
bleiben                  | VERB | 1     | VVFIN | 0.0013273161667109105
laufen                   | VERB | 4     | VVFIN | 0.005309264666843642
thiem                    | PROPN| 2     | NE    | 0.002654632333421821
a7                       | X    | 1     | FM    | 0.0013273161667109105
trauerfeier              | NOUN | 8     | NN    | 0.010618529333687284
verkehrsbetrieben        | NOUN | 2     | NN    | 0.002654632333421821
ich                      | PRON | 63    | PPER  | 0.08362091850278737
lutz                     | PROPN| 4     | NE    | 0.005309264666843642
buchen                   | NOUN | 1     | NN    | 0.0013273161667109105
meter                    | NOUN | 12    | NN    | 0.015927794000530928
schlossgarten            | NOUN | 4     | NN    | 0.005309264666843642
